_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC01225071 -17.042 -17.739 4.066 0.000 -27.432
ZINC01225081 -13.940 -15.858 5.206 0.000 -27.834
ZINC01225082 -17.152 -15.439 1.584 0.000 -25.488
ZINC01225087 -16.437 -18.199 5.086 0.000 -30.916
ZINC01225097 -22.024 -19.173 0.485 0.000 -28.180
ZINC01225099 -18.203 -11.333 -3.622 0.000 -22.962
ZINC01230217 -23.954 -20.374 -0.351 0.073 -23.122
ZINC01241335 -22.414 -20.972 1.741 0.000 -29.656
ZINC01242207 -22.966 -24.216 4.555 0.000 -25.941
ZINC01246400 -27.855 -22.406 -2.221 0.000 -31.059
ZINC01248565 -23.130 -19.975 0.143 0.000 -24.735
ZINC01248566 -22.828 -18.296 -1.228 0.000 -25.788
ZINC01249046 -23.054 -19.818 -0.019 0.000 -24.651
ZINC01250393 -22.266 -9.885 -9.104 0.000 -22.664
ZINC01250394 -26.963 -20.229 -3.422 0.000 -28.413
ZINC01251284 -23.669 -21.253 0.837 0.000 -28.586
ZINC01252178 -25.417 -16.025 -6.174 0.000 -26.549
ZINC01252179 -20.315 -17.237 0.244 0.000 -27.752
ZINC01253007 -23.220 -14.951 -5.130 0.000 -27.841
ZINC01253777 -24.875 -23.529 1.717 0.000 -26.759
ZINC01253778 -22.379 -22.902 2.370 0.000 -28.958
ZINC01254138 -27.212 -22.380 -1.579 0.000 -29.111
ZINC01254139 -21.396 -17.568 -0.409 0.000 -30.171
ZINC01254576 -22.173 -23.890 1.387 0.000 -29.180
ZINC01270478 -22.276 -19.623 0.398 0.000 -28.407
ZINC01270479 -19.329 -18.514 -1.122 0.000 -30.083
ZINC01278752 -25.182 -23.270 1.233 0.000 -26.877
ZINC01283324 -24.718 -16.596 -4.741 0.000 -26.474
ZINC01283325 -18.070 -15.417 0.625 0.000 -22.929
ZINC01288541 -24.577 -16.822 -4.514 0.000 -25.703
ZINC01289245 -16.128 -14.855 2.118 0.000 -24.512
ZINC01293471 -24.043 -20.681 0.054 0.000 -24.209
ZINC01293472 -21.587 -18.224 -0.075 0.000 -24.908
ZINC01294176 -25.255 -20.825 -1.149 0.000 -28.099
ZINC01294179 -20.204 -19.752 2.898 0.000 -29.460
ZINC01294565 -24.409 -22.991 -1.796 0.000 -31.855
ZINC01300158 -21.913 -16.980 -1.608 0.000 -23.841
ZINC01300159 -19.693 -18.353 2.017 0.000 -26.652
ZINC01302344 -24.461 -14.344 -6.844 0.000 -26.291
ZINC01302345 -21.436 -17.554 -2.008 0.000 -27.351
ZINC01307676 -19.539 -14.935 -1.379 0.000 -23.883
ZINC01307677 -20.602 -15.464 -1.910 0.000 -23.841
ZINC01307678 -18.716 -16.164 0.719 0.000 -25.846
ZINC01314921 -34.692 -25.097 -7.709 0.000 -31.235
ZINC01315392 -24.098 -20.842 -0.123 0.000 -30.152
ZINC01315393 -20.828 -20.415 2.836 0.000 -27.029
ZINC01324493 -18.328 -17.792 2.712 0.000 -28.306
ZINC01324568 -20.898 -15.853 -1.771 0.000 -25.191
ZINC01324593 -24.612 -14.531 -6.753 0.000 -26.082
ZINC01324609 -19.145 -11.756 -4.119 0.000 -23.651
ZINC01325283 -24.810 -24.027 2.623 0.003 -26.886
ZINC01325286 -23.376 -21.323 1.244 0.000 -27.739
ZINC01328987 -23.254 -21.740 1.867 0.000 -28.953
ZINC01333332 -18.774 -16.297 0.748 0.000 -25.274
ZINC01342398 -29.558 -20.032 -6.165 0.000 -29.076
ZINC01346473 -21.283 -14.915 -3.074 0.000 -27.695
ZINC01433613 -11.739 -15.535 7.158 0.000 -26.133
ZINC01435104 -11.306 -13.673 5.712 0.000 -21.824
ZINC01435105 -13.623 -10.366 0.070 0.000 -21.815
ZINC01436394 -21.262 -18.804 0.827 0.000 -24.065
ZINC01436395 -17.088 -13.683 -0.105 0.000 -25.198
ZINC01437595 -26.899 -23.536 -1.391 0.000 -28.772
ZINC01437596 -13.861 -8.850 -1.593 0.000 -18.301
ZINC01441790 -21.778 -16.960 -1.530 0.000 -28.481
ZINC01444544 -24.457 -19.930 -1.109 0.000 -27.080
ZINC01444545 -24.634 -21.355 -0.005 0.000 -27.296
ZINC01454023 -18.608 -17.778 -1.212 0.000 -28.048
ZINC01464602 -22.965 -19.545 -0.218 0.000 -26.846
ZINC01471091 -16.325 -15.390 -1.323 0.000 -26.338
ZINC01471092 -19.487 -15.997 -0.201 0.000 -26.725
ZINC01471266 -19.415 -17.504 1.402 0.000 -25.365
ZINC01472948 -13.147 -10.500 -0.705 0.000 -23.404
ZINC01474068 -27.260 -23.019 -0.853 0.000 -25.618
ZINC01474404 -23.706 -19.058 -1.355 0.000 -26.667
ZINC01474405 -23.270 -25.563 1.910 0.000 -28.191
ZINC01474412 -23.262 -21.156 1.106 0.000 -22.641
ZINC01474436 -21.468 -12.192 -5.968 0.000 -27.592
ZINC01474437 -21.737 -22.446 0.246 0.000 -28.817
ZINC01474439 -29.175 -23.051 -3.276 0.000 -28.303
ZINC01474450 -18.326 -17.274 2.301 0.000 -27.896
ZINC01474451 -20.954 -18.101 0.413 0.000 -26.736
ZINC01474452 -18.899 -16.056 0.562 0.000 -28.466
ZINC01474454 -21.123 -16.726 -1.068 0.000 -21.439
ZINC01474460 -21.414 -17.433 -0.723 0.000 -24.168
ZINC01474461 -25.747 -23.177 0.806 0.000 -29.795
ZINC01474480 -21.899 -18.084 -0.519 0.000 -22.896
ZINC01474481 -22.028 -15.339 -3.417 0.000 -24.780
ZINC01474483 -26.908 -18.971 -4.962 0.000 -27.117
ZINC01474497 -24.216 -19.112 -1.804 0.000 -27.432
ZINC01474518 -21.382 -19.223 1.224 0.000 -25.067
ZINC01474519 -24.731 -22.362 1.003 0.000 -26.823
ZINC01474522 -25.582 -19.227 -4.390 0.000 -25.378
ZINC01474523 -24.483 -19.825 -1.500 0.000 -27.087
ZINC01474526 -24.194 -25.148 4.210 0.000 -30.328
ZINC01474527 -24.722 -20.849 -0.540 0.000 -31.027
ZINC01474542 -22.424 -22.301 -0.467 0.000 -31.763
ZINC01474543 -23.508 -18.102 -2.061 0.000 -32.521
ZINC01474545 -25.404 -22.425 -1.230 0.000 -25.497
ZINC01474561 -20.921 -18.174 -0.799 0.000 -28.750
ZINC01474588 -25.826 -21.283 -1.286 0.000 -26.999
ZINC01474589 -15.999 -13.869 1.221 0.000 -25.186
ZINC01474596 -22.658 -20.035 0.613 0.000 -29.115
ZINC01474597 -25.291 -21.368 -0.647 0.000 -30.205
ZINC01474598 -24.727 -20.399 -1.058 0.000 -27.038
ZINC01474599 -20.358 -17.320 0.186 0.000 -28.124
ZINC01474601 -21.512 -19.391 -2.392 0.000 -29.815
ZINC01474610 -22.670 -20.093 -0.372 0.000 -25.801
ZINC01474611 -20.511 -19.110 1.876 0.000 -26.401
ZINC01474613 -20.402 -20.193 3.096 0.000 -26.929
ZINC01474615 -23.016 -19.463 -0.231 0.000 -28.969
ZINC01474670 -17.789 -23.225 3.405 0.000 -26.106
ZINC01474725 -24.606 -26.653 5.367 0.000 -27.521
ZINC01474726 -23.104 -20.583 0.695 0.000 -25.445
ZINC01474801 -25.753 -21.739 -0.771 0.000 -26.845
ZINC01474808 -16.914 -14.962 1.413 0.000 -26.375
ZINC01474809 -25.256 -23.293 -2.319 0.000 -29.065
ZINC01474913 -22.302 -21.572 2.575 0.000 -26.447
ZINC01474914 -16.090 -18.405 2.004 0.000 -26.738
ZINC01474939 -27.882 -25.854 1.096 0.000 -29.156
ZINC01474941 -25.970 -22.651 -0.044 0.000 -27.940
ZINC01474942 -30.762 -25.497 -1.984 0.000 -32.661
ZINC01475073 -26.208 -22.192 -0.814 0.000 -27.992
ZINC01475075 -26.949 -20.730 -2.928 0.000 -28.771
ZINC01475076 -26.605 -22.275 -0.963 0.000 -32.152
ZINC01475078 -25.788 -18.213 -5.649 0.000 -27.710
ZINC01475079 -26.595 -20.300 -2.933 0.000 -28.603
ZINC01475080 -26.068 -20.259 -2.403 0.000 -27.659
ZINC01475081 -25.591 -19.328 -2.918 0.054 -26.654
ZINC01475083 -21.764 -21.936 3.492 0.000 -29.705
ZINC01475084 -12.464 -12.055 2.988 0.000 -23.725
ZINC01477481 -27.015 -21.048 -2.761 0.000 -30.896
ZINC01477482 -18.989 -15.089 -0.521 0.000 -25.119
ZINC01477920 -28.369 -17.001 -8.139 0.000 -25.448
ZINC01478230 -19.768 -16.494 0.083 0.000 -27.586
ZINC01478231 -21.711 -17.412 -0.891 0.000 -27.720
ZINC01478234 -21.398 -19.845 1.679 0.000 -26.931
ZINC01478235 -21.558 -19.508 -0.118 0.000 -27.155
ZINC01478315 -29.305 -21.020 -5.013 0.000 -32.508
ZINC01478326 -28.636 -23.047 -2.281 0.000 -30.075
ZINC01478327 -19.142 -20.483 -0.374 0.000 -28.929
ZINC01478406 -17.986 -16.365 1.788 0.000 -29.959
ZINC01478407 -19.764 -20.721 4.166 0.000 -28.345
ZINC01479270 -18.684 -21.196 2.149 0.000 -28.939
ZINC01479271 -19.433 -18.773 2.631 0.000 -26.856
ZINC01479274 -18.894 -14.260 -1.248 0.000 -26.753
ZINC01479275 -22.454 -17.545 -1.690 0.025 -28.308
ZINC01479282 -20.646 -19.900 2.577 0.000 -29.678
ZINC01479283 -21.486 -23.786 5.495 0.000 -27.579
ZINC01479301 -16.199 -13.458 0.542 0.000 -21.074
ZINC01479302 -23.026 -21.523 1.738 0.000 -27.268
ZINC01479303 -19.820 -22.676 6.170 0.000 -30.320
ZINC01479306 -22.335 -18.100 -0.975 0.000 -30.758
ZINC01479307 -19.195 -20.948 4.967 0.000 -27.181
ZINC01479312 -18.275 -18.455 3.577 0.000 -31.028
ZINC01479313 -15.644 -14.411 1.302 0.000 -26.212
ZINC01479354 -22.674 -20.282 0.906 0.000 -27.748
ZINC01479355 -17.515 -16.142 -3.157 0.000 -25.843
ZINC01479360 -21.848 -22.540 3.957 0.000 -28.928
ZINC01479361 -22.184 -20.390 -2.055 0.000 -28.709
ZINC01479365 -16.473 -15.953 2.680 0.000 -24.672
ZINC01479410 -24.205 -19.857 -1.182 0.000 -27.942
ZINC01479411 -24.468 -24.354 2.966 0.000 -27.913
ZINC01479414 -25.761 -23.137 0.771 0.000 -29.237
ZINC01479415 -25.298 -18.666 -3.284 0.000 -29.677
ZINC01479522 -14.898 -18.334 3.155 0.000 -26.982
ZINC01479523 -18.305 -16.000 1.106 0.000 -28.826
ZINC01479528 -23.957 -25.742 5.087 0.000 -26.187
ZINC01479529 -19.823 -18.941 -1.238 0.000 -29.022
ZINC01479557 -19.499 -17.717 1.588 0.000 -25.305
ZINC01479558 -29.366 -28.757 -1.038 0.000 -29.968
ZINC01479559 -17.279 -19.305 5.155 0.000 -26.662
ZINC01479574 -19.015 -16.042 0.325 0.000 -25.408
ZINC01479575 -16.898 -18.206 0.869 0.000 -28.453
ZINC01479576 -27.726 -26.855 1.320 0.000 -30.421
ZINC01479577 -20.535 -13.848 -3.456 0.000 -26.220
ZINC01482825 -25.880 -23.039 0.083 0.000 -31.044
ZINC01482873 -21.884 -22.853 4.242 0.000 -33.049
ZINC01483323 -25.603 -25.070 -0.818 0.000 -34.341
ZINC01484757 -20.226 -18.155 1.257 0.000 -24.795
ZINC01485448 -23.357 -22.410 2.258 0.000 -26.349
ZINC01485703 -24.097 -26.785 5.933 0.000 -31.496
ZINC01485713 -20.064 -19.970 1.838 0.000 -25.663
ZINC01486093 -25.387 -18.657 -3.319 0.000 -29.952
ZINC01486361 -27.596 -23.996 -3.951 0.000 -28.065
ZINC01486366 -23.110 -15.237 -4.536 0.000 -27.637
ZINC01487885 -21.995 -18.291 -0.314 0.000 -28.538
ZINC01487907 -26.836 -22.401 -1.093 0.022 -27.239
ZINC01489197 -24.086 -21.445 0.534 0.000 -31.004
ZINC01489279 -20.256 -15.012 -1.949 0.000 -25.586
ZINC01489833 -18.600 -15.749 0.327 0.000 -25.745
ZINC01489972 -29.095 -27.254 0.151 0.000 -32.700
ZINC01490906 -22.291 -14.977 -4.040 0.000 -31.471
ZINC01492203 -23.875 -21.201 0.688 0.000 -28.690
ZINC01492442 -20.401 -19.671 2.548 0.000 -31.794
ZINC01492443 -23.274 -21.073 1.018 0.000 -33.697
ZINC01492728 -24.364 -20.111 -0.899 0.000 -30.322
ZINC01492746 -24.072 -21.428 0.606 0.007 -25.164
ZINC01493498 -18.999 -16.789 -0.255 0.000 -28.589
ZINC01493501 -19.358 -15.109 -2.387 0.000 -29.176
ZINC01493502 -20.287 -15.901 -1.094 0.000 -23.405
ZINC01494159 -26.507 -20.230 -3.053 0.000 -31.587
ZINC01494161 -21.120 -14.543 -3.283 0.000 -27.277
ZINC01494163 -24.611 -23.719 -1.280 0.000 -35.601
ZINC01494528 -25.879 -22.424 -0.057 0.000 -29.343
ZINC01494531 -25.807 -26.104 3.623 0.000 -33.815
ZINC01494788 -14.162 -15.269 4.290 0.000 -28.303
ZINC01494902 -22.714 -18.299 -1.138 0.000 -28.467
ZINC01505388 -25.643 -21.170 -1.211 0.000 -31.509
ZINC01508616 -23.105 -21.610 1.704 0.000 -24.787
ZINC01508621 -12.827 -11.837 2.389 0.000 -25.392
ZINC01508629 -11.948 -12.736 2.748 0.004 -23.325
ZINC01533335 -21.213 -20.148 2.212 0.000 -29.160
ZINC01533617 -21.882 -17.608 -1.554 0.000 -29.518
ZINC01534430 -24.318 -18.277 -2.804 0.000 -27.915
ZINC01534846 -28.784 -23.915 -1.622 0.000 -29.995
ZINC01535934 -20.620 -14.258 -3.495 0.000 -24.936
ZINC01536540 -21.005 -13.909 -3.739 0.000 -26.503
ZINC01537603 -22.620 -15.695 -3.540 0.000 -31.095
ZINC01537674 -18.485 -16.013 0.662 0.026 -26.319
ZINC01538660 -26.266 -16.719 -6.177 0.000 -29.167
ZINC01538661 -24.307 -16.762 -7.838 0.000 -27.534
ZINC01538857 -14.636 -15.368 3.622 0.000 -22.795
ZINC01538998 -20.505 -17.619 0.416 0.000 -30.076
ZINC01539000 -22.727 -19.363 -0.073 0.000 -31.363
ZINC01539006 -19.517 -17.610 1.368 0.000 -25.202
ZINC01539675 -21.721 -15.867 -2.622 0.000 -27.537
ZINC01540854 -19.609 -16.104 -0.148 0.000 -27.619
ZINC01540855 -18.476 -10.777 -4.278 0.000 -17.718
ZINC01545657 -22.679 -21.493 2.116 0.000 -30.534
ZINC01547559 -23.124 -20.179 -3.256 0.000 -28.744
ZINC01548247 -27.202 -24.514 -3.818 0.000 -28.464
ZINC01548917 -15.900 -12.572 -0.039 0.000 -25.856
ZINC01549298 -25.941 -18.687 -4.448 0.000 -21.260
ZINC01552276 -24.689 -18.252 -3.272 0.000 -29.006
ZINC01552277 -25.067 -22.530 -3.041 0.000 -29.889
ZINC01552278 -20.458 -14.018 -3.132 0.000 -27.303
ZINC01552282 -29.921 -21.216 -5.533 0.000 -26.757
ZINC01552333 -20.902 -14.096 -3.489 0.000 -26.605
ZINC01552337 -23.369 -16.505 -3.496 0.000 -29.020
ZINC01552964 -24.580 -21.841 0.363 0.000 -29.147
ZINC01553264 -17.447 -19.482 5.309 0.000 -28.090
ZINC01553265 -19.217 -24.036 8.149 0.000 -29.829
ZINC01554900 -19.352 -18.282 2.120 0.000 -26.870
ZINC01555164 -25.632 -19.164 -3.233 0.000 -27.911
ZINC01555165 -25.524 -19.961 -2.212 0.000 -26.689
ZINC01569098 -17.666 -17.590 3.311 0.012 -28.590
ZINC01583194 -18.167 -21.129 6.208 0.000 -28.321
ZINC01620090 -18.755 -19.121 3.634 0.051 -27.639
ZINC01648936 -20.336 -19.200 2.228 0.000 -29.844
ZINC01669626 -16.127 -11.693 -1.140 0.000 -22.612
ZINC01682208 -13.878 -17.632 5.714 0.000 -29.239
ZINC01742948 -22.495 -21.083 1.885 0.000 -26.538
ZINC01745942 -24.557 -25.706 4.415 0.000 -31.323
ZINC01754451 -22.216 -18.455 -0.426 0.000 -26.587
ZINC01754454 -18.735 -18.948 3.562 0.000 -27.029
ZINC01755985 -19.343 -17.201 1.178 0.000 -28.995
ZINC01761808 -16.061 -16.410 3.747 0.000 -24.761
ZINC01770526 -22.984 -22.063 2.354 0.000 -31.382
ZINC01772902 -25.616 -16.464 -5.752 0.023 -23.388
ZINC01773544 -22.493 -21.457 2.263 0.000 -26.802
ZINC01773552 -19.769 -17.832 1.380 0.000 -25.233
ZINC01773553 -17.678 -16.633 2.224 0.017 -26.400
ZINC01773827 -20.764 -15.659 -1.735 0.000 -28.351
ZINC01778113 -19.850 -19.965 3.409 0.006 -26.982
ZINC01779129 -22.782 -22.079 1.917 0.444 -28.866
ZINC01785413 -38.739 -21.524 -17.547 0.000 -27.232
ZINC01785415 -32.341 -17.270 -15.408 0.000 -24.168
ZINC01794673 -17.012 -17.479 3.848 0.000 -24.943
ZINC01798232 -22.242 -20.797 1.309 0.000 -24.320
ZINC01798235 -23.011 -20.988 1.207 0.000 -24.636
ZINC01800356 -16.457 -16.471 -0.464 0.000 -26.535
ZINC01800361 -22.165 -19.545 0.635 0.000 -26.014
ZINC01813364 -19.987 -13.326 -4.733 0.000 -23.173
ZINC01816572 -24.602 -17.711 -3.585 0.000 -24.933
ZINC01818615 -25.299 -23.107 1.089 0.000 -29.806
ZINC01818658 -22.303 -19.181 -1.125 0.000 -28.488
ZINC01819240 -24.451 -22.920 1.857 0.000 -30.144
ZINC01822504 -22.465 -18.140 -0.975 0.000 -29.516
ZINC01823906 -29.735 -21.648 -4.711 0.000 -28.652
ZINC01827824 -22.534 -20.253 1.088 0.000 -26.367
ZINC01833459 -25.997 -25.224 2.519 0.000 -32.237
ZINC01837578 -23.877 -17.590 -2.980 0.000 -26.003
ZINC01853847 -21.696 -13.678 -4.709 0.000 -28.078
ZINC01860580 -18.383 -19.165 4.084 0.000 -21.298
ZINC01865961 -20.505 -14.726 -2.439 0.000 -23.797
ZINC01880914 -28.506 -20.369 -4.824 0.000 -31.122
ZINC01886637 -23.704 -19.553 -0.985 0.000 -25.728
ZINC01895379 -21.316 -19.448 -2.202 0.000 -25.526
ZINC01896736 -27.214 -24.545 0.691 0.000 -30.954
ZINC01897559 -26.192 -18.284 -4.637 0.000 -23.550
ZINC01901976 -29.611 -26.460 0.148 0.000 -31.593
ZINC01902006 -22.748 -19.383 -0.105 0.000 -22.956
ZINC01902669 -26.652 -16.916 -6.456 0.000 -24.401
ZINC01907048 -18.844 -17.377 1.935 0.000 -24.132
ZINC01915794 -24.827 -20.429 -2.500 0.000 -28.611
ZINC01922685 -29.815 -22.866 -4.988 0.000 -26.271
ZINC01936959 -25.635 -25.160 -0.837 0.023 -29.571
ZINC01967440 -25.245 -19.286 -2.561 0.000 -25.332
ZINC01967441 -24.003 -17.602 -4.426 0.000 -26.746
ZINC01976297 -34.041 -19.061 -11.765 0.025 -23.813
ZINC01976330 -14.368 -10.119 -0.938 0.000 -22.793
ZINC01976444 -32.382 -12.029 -17.097 0.000 -24.171
ZINC01985592 -19.106 -15.657 -1.565 0.000 -27.764
ZINC01985593 -18.006 -15.130 0.477 0.000 -23.767
ZINC01985594 -15.793 -17.900 1.671 0.000 -25.988
ZINC02001885 -20.995 -10.494 -8.592 0.000 -25.008
ZINC02007693 -22.480 -20.003 0.588 0.000 -29.827
ZINC02008807 -19.921 -17.858 1.222 0.000 -30.172
ZINC02008817 -23.086 -20.921 1.095 0.000 -32.765
ZINC02011612 -22.990 -18.035 -5.338 0.000 -29.225
ZINC02020941 -14.742 -10.139 -1.393 0.000 -18.833
ZINC02023446 -13.867 -11.170 0.597 0.000 -26.570
ZINC02024046 -23.671 -18.404 -2.021 0.000 -29.652
ZINC02049614 -20.417 -18.476 1.290 0.000 -24.296
ZINC02053162 -25.509 -25.419 3.054 0.000 -31.509
ZINC02053172 -24.095 -20.804 0.017 0.000 -28.314
ZINC02056271 -16.124 -16.172 3.355 0.000 -24.492
ZINC02057261 -19.438 -15.342 -4.419 0.000 -25.642
ZINC02057389 -20.384 -18.979 1.994 0.000 -28.036
ZINC02057390 -20.752 -20.202 1.422 0.000 -29.270
ZINC02062004 -30.868 -25.541 -1.954 0.000 -29.460
ZINC02062005 -22.260 -22.522 3.544 0.000 -30.585
ZINC02085023 -23.691 -20.542 0.180 0.000 -29.440
ZINC02085027 -14.895 -15.643 0.407 0.000 -27.102
ZINC02085286 -22.798 -15.627 -3.867 0.000 -28.317
ZINC02085358 -11.476 -18.600 6.790 0.000 -29.209
ZINC02086129 -18.512 -14.666 -0.495 0.000 -26.242
ZINC02089746 -24.238 -21.552 0.660 0.000 -29.580
ZINC02091520 -20.415 -16.627 -0.392 0.000 -25.767
ZINC02092986 -20.852 -18.692 -0.229 0.000 -31.902
ZINC02093752 -20.665 -18.897 1.251 0.000 -28.031
ZINC02095637 -17.981 -16.841 2.245 0.000 -27.904
ZINC02096376 -18.426 -16.805 1.769 0.006 -24.509
ZINC02097886 -18.370 -15.783 0.754 0.000 -27.683
ZINC02098756 -24.466 -18.808 -2.449 0.000 -25.885
ZINC02098761 -21.520 -15.307 -2.910 0.000 -30.707
ZINC02100553 -22.856 -19.262 -0.320 0.000 -27.209
ZINC02100561 -21.761 -16.503 -1.885 0.000 -26.070
ZINC02103163 -26.236 -20.291 -2.663 0.000 -25.923
ZINC02118828 -23.547 -19.048 -1.126 0.000 -28.744
ZINC02123114 -26.619 -20.215 -3.233 0.000 -32.622
ZINC02123619 -22.975 -15.433 -4.327 0.000 -23.484
ZINC02123621 -17.953 -12.945 -1.601 0.000 -23.460
ZINC02127240 -19.939 -16.216 -0.432 0.000 -23.230
ZINC02127241 -21.692 -17.776 -0.649 0.000 -24.789
ZINC02135467 -28.117 -26.708 1.935 0.000 -29.869
ZINC02146461 -22.552 -18.278 -1.082 0.000 -26.490
ZINC02146464 -22.601 -17.516 -1.681 0.000 -28.431
ZINC02147930 -17.552 -16.518 2.204 0.000 -27.749
ZINC02149556 -25.894 -21.442 -1.210 0.000 -29.346
ZINC02163698 -41.299 -20.216 -19.171 0.000 -31.539
ZINC02163700 -40.578 -19.225 -18.082 0.003 -28.333
ZINC02170048 -20.064 -20.233 3.478 0.000 -29.829
ZINC02172055 -14.537 -17.014 4.100 0.000 -26.466
ZINC02175834 -18.646 -20.761 5.408 0.000 -26.039
ZINC02176053 -21.867 -15.621 -2.895 0.000 -23.247
ZINC02176095 -17.408 -15.529 1.328 0.000 -23.090
ZINC02185512 -18.533 -18.384 2.897 0.044 -28.027
ZINC02188318 -16.185 -19.099 6.187 0.000 -30.193
ZINC02200130 -25.514 -20.984 -1.216 0.000 -29.181
ZINC02200721 -20.512 -18.918 0.377 0.000 -22.646
ZINC02206054 -24.292 -21.899 0.847 0.000 -26.819
ZINC02207115 -21.032 -18.613 0.963 0.000 -29.164
ZINC02210145 -24.595 -19.480 -1.851 0.000 -26.151
ZINC02212144 -20.892 -12.748 -4.897 0.000 -23.394
ZINC02212347 -25.606 -16.760 -5.556 0.000 -27.067
ZINC02212351 -25.127 -13.521 -8.364 0.000 -21.464
ZINC02213568 -26.024 -17.894 -4.903 0.000 -27.540
ZINC02213569 -25.154 -22.465 0.658 0.000 -31.626
ZINC02214188 -22.560 -11.905 -7.364 0.000 -27.305
ZINC02214508 -21.851 -16.432 -2.024 0.000 -27.539
ZINC02223689 -21.926 -15.937 -2.593 0.000 -24.442
ZINC02229346 -21.076 -14.855 -3.007 0.000 -25.096
ZINC02235364 -24.197 -18.986 -1.943 0.000 -27.286
ZINC02236966 -20.951 -16.133 -2.929 0.000 -26.096
ZINC02236978 -21.200 -16.924 -4.583 0.000 -27.088
ZINC02240877 -23.403 -19.702 -4.119 0.000 -28.102
ZINC02245102 -17.271 -14.481 -0.791 0.000 -25.432
ZINC02246704 -29.761 -21.141 -5.194 0.000 -27.529
ZINC02246817 -24.347 -15.397 -5.695 0.000 -27.500
ZINC02246869 -23.117 -17.793 -1.941 0.000 -26.422
ZINC02248768 -23.947 -20.569 -0.087 0.000 -28.782
ZINC02252594 -32.734 -24.231 -5.213 0.000 -28.380
ZINC02257695 -25.937 -17.346 -5.344 0.000 -25.945
ZINC02261631 -25.259 -21.135 -0.925 0.000 -27.029
ZINC02270057 -26.776 -25.341 -3.777 0.404 -27.144
ZINC02280406 -31.959 -28.460 -0.352 0.000 -27.679
ZINC02283812 -22.575 -18.178 -1.100 0.018 -28.419
ZINC02284108 -28.528 -21.591 -3.637 0.000 -25.528
ZINC02293776 -26.424 -21.783 -1.349 0.000 -25.358
ZINC02296465 -22.176 -18.773 -0.183 0.000 -26.425
ZINC02298927 -23.491 -19.294 -1.175 0.000 -24.270
ZINC02299222 -28.472 -25.073 -0.179 0.000 -27.020
ZINC02304207 -19.105 -16.007 0.308 0.000 -26.753
ZINC02307595 -19.544 -15.907 -0.235 0.000 -23.537
ZINC02307597 -20.603 -19.151 1.969 0.000 -28.266
ZINC02307825 -23.991 -21.075 0.280 0.000 -27.877
ZINC02308096 -20.424 -19.298 1.814 0.000 -26.492
ZINC02308099 -25.982 -19.683 -3.001 0.000 -28.482
ZINC02309001 -18.895 -16.017 0.483 0.000 -29.666
ZINC02309459 -23.362 -23.126 1.358 0.000 -28.242
ZINC02312414 -22.797 -20.035 0.455 0.000 -29.223
ZINC02315748 -29.866 -25.075 -1.537 0.000 -25.760
ZINC02316704 -24.649 -22.604 0.867 0.000 -28.066
ZINC02317492 -25.154 -14.501 -7.395 0.000 -23.631
ZINC02318051 -22.602 -20.018 0.733 0.000 -29.555
ZINC02318053 -19.964 -20.070 3.430 0.000 -24.332
ZINC02318140 -33.091 -26.880 -2.853 0.000 -34.094
ZINC02318491 -23.006 -22.273 2.593 0.000 -29.009
ZINC02318566 -29.544 -24.617 -2.242 0.000 -26.404
ZINC02321016 -20.888 -20.032 2.576 0.000 -26.403
ZINC02321550 -26.746 -24.570 -0.405 0.000 -30.583
ZINC02321624 -30.911 -27.117 -0.493 0.000 -29.840
ZINC02321688 -32.056 -28.222 -0.695 0.000 -29.692
ZINC02321689 -32.464 -30.576 1.315 0.000 -29.925
ZINC02321937 -19.197 -13.866 -1.948 0.000 -22.879
ZINC02322455 -24.795 -19.432 -2.053 0.000 -30.012
ZINC02328792 -26.140 -22.529 -0.341 0.000 -25.023
ZINC02330266 -19.952 -15.915 -0.685 0.000 -23.674
ZINC02330595 -21.687 -16.876 -1.518 0.000 -29.841
ZINC02330598 -22.491 -18.338 -0.914 0.000 -29.631
ZINC02332412 -25.696 -20.556 -1.804 0.000 -29.489
ZINC02332805 -24.420 -18.973 -2.077 0.000 -29.387
ZINC02333826 -18.179 -17.515 2.563 0.000 -25.578
ZINC02338551 -21.311 -16.999 -0.959 0.000 -26.764
ZINC02339301 -24.762 -14.987 -6.380 0.000 -25.596
ZINC02339497 -24.176 -19.206 -1.679 0.000 -28.649
ZINC02339511 -20.377 -18.775 1.715 0.000 -27.163
ZINC02340282 -27.444 -24.154 0.033 0.000 -29.152
ZINC02341118 -36.320 -28.977 -4.211 0.000 -29.106
ZINC02341684 -23.885 -23.349 1.305 0.000 -28.415
ZINC02341693 -27.032 -20.622 -2.995 0.000 -27.466
ZINC02344207 -26.985 -23.392 -0.175 0.000 -27.816
ZINC02344466 -22.171 -23.613 -0.273 0.000 -31.804
ZINC02347845 -28.898 -23.672 -1.872 0.000 -30.942
ZINC02348607 -29.784 -12.919 -13.492 0.000 -19.623
ZINC02349868 -26.789 -22.046 -1.645 0.000 -29.480
ZINC02352127 -26.017 -18.827 -3.835 0.000 -30.264
ZINC02352575 -13.952 -19.428 5.050 0.000 -27.635
ZINC02353543 -32.851 -31.768 2.170 0.000 -28.357
ZINC02354158 -30.859 -26.940 -0.649 0.000 -29.466
ZINC02354181 -22.861 -20.033 0.104 0.000 -27.275
